encontramos-|nos	encontramos|-nos	encontramo-nos	Calypso|e|encontramos-|nos|em|a
trata-|se	trata|-se	trata-se	Sousa|,|trata-|se|de|um
fazem-|se	fazem|-se	fazem-se	actuar|,|fazem-|se|representar|em
contratou-|o	contratou|-o	contratou-o	O|Sporting|contratou-|o|,|trouxe-
trouxe-|o	trouxe|-o	trouxe-o	o|,|trouxe-|o|para|Lisboa
treinar-|lo	treiná|-lo	treiná-lo	começou|a|treinar-|lo
descobriu-|o	descobriu|-o	descobriu-o	uma|italiana|descobriu-|o
traduziu-|o	traduziu|-o	traduziu-o	Teresa|Pazzolo|traduziu-|o|,|prefaciou-
prefaciou-|o	prefaciou|-o	prefaciou-o	o|,|prefaciou-|o|e|ilustrou-
ilustrou-|o	ilustrou|-o	ilustrou-o	o|e|ilustrou-|o|,|com
faltava-|lhes	faltava|-lhes	faltava-lhes	,|mas|faltava-|lhes|a|adopção
Sabe-|se	Sabe|-se	Sabe-se	Sabe-|se|lá|até
relatar-|lhe	relatar|-lhe	relatar-lhe	polícia|e|relatar-|lhe|como|tudo
traduziram-|se	traduziram|-se	traduziram-se	de|Belém|traduziram-|se|em|uma
estreou-|se	estreou|-se	estreou-se	português|Hélder|estreou-|se|em|o
Bateu-|se	Bateu|-se	Bateu-se	Bateu-|se|bem|,
ganhou-|lhes	ganhou|-lhes	ganhou-lhes	bem|,|ganhou-|lhes|muitos|lances
bateu-|me	bateu|-me	bateu-me	a|bola|bateu-|me|em|as
Pediram-|me	Pediram|-me	Pediram-me	Pediram-|me|para|desenrascar
Tratando-|se	Tratando|-se	Tratando-se	Tratando-|se|de|matérias
recorrendo-|se	recorrendo|-se	recorrendo-se	habitual|,|recorrendo-|se|a|um
lançar-|la	lançá|-la	lançá-la	farinha|e|lançar-|la|«|por
manter-|los	mantê|-los	mantê-los	,|querem|manter-|los|em|a
tornaram-|se	tornaram|-se	tornaram-se	pesada|estrutura|tornaram-|se|insuportáveis|para
anunciava-|se	anunciava|-se	anunciava-se	anunciava-|se|uma|corrida
mantivemos-|nos	mantivemo|-nos	mantivemo-nos	uma|semana|mantivemos-|nos|em|os
destaque-|se	destaque|-se	destaque-se	Giacometti|,|destaque-|se|aquele|em
Fala-|se	Fala|-se	Fala-se	Fala-|se|de|a
pronunciar-|se	pronunciar|-se	pronunciar-se	vão|hoje|pronunciar-|se|sobre|o
apresentou-|se	apresentou|-se	apresentou-se	Mike|Smith|apresentou-|se|em|deficientes
intrometer-|se	intrometer|-se	intrometer-se	como|objectivo|intrometer-|se|em|a
atribuir-|lhe	atribuir|-lhe	atribuir-lhe	LNIV|veio|atribuir-|lhe|mais|responsabilidades
tinham-|se	tinham|-se	tinham-se	mil|casais|tinham-|se|oferecido|,
demitir-|me	demitir|-me	demitir-me	«|Decidi|demitir-|me|hoje
procurar-|se	procurar|-se	procurar-se	,|pode|procurar-|se|em|a
tornara-|se	tornara|-se	tornara-se	seu|executivo|tornara-|se|demasiada
portar-|se	portar|-se	portar-se	E|a|portar-|se|a|a
tornou-|se	tornou|-se	tornou-se	física|)|tornou-|se|suporte|--
Chamaram-|se	Chamaram|-se	Chamaram-se	Chamaram-|se|a|si
Debate-|se	Debate|-se	Debate-se	Debate-|se|agora|se
encontravam-|se	encontravam|-se	encontravam-se	casal|,|encontravam-|se|a|cerca
distribuíu-|se	distribuíu|-se	distribuíu-se	polícia|a|distribuíu-|se|por|a
suicidar-|se	suicidar|-se	suicidar-se	terem|ameaçado|suicidar-|se|com|os
evadiram-|se	evadiram|-se	evadiram-se	35|,|evadiram-|se|,|há
demitir-|se	demitir|-se	demitir-se	forçados|a|demitir-|se|para|assegurar
coloca-|o	coloca|-o	coloca-o	o|processo|coloca-|o|em|a
manifestar-|se	manifestar|-se	manifestar-se	dispostos|a|manifestar-|se|em|a
Atende-|se	Atende|-se	Atende-se	Atende-|se|,|também
autoriza-|se	autoriza|-se	autoriza-se	»|e|autoriza-|se|o|pagamento
arranja-|se	arranja|-se	arranja-se	mal|,|arranja-|se|aí|um
Constata-|se	Constata|-se	Constata-se	«|Constata-|se|que|nem
destinam-|se	destinam|-se	destinam-se	comum|,|destinam-|se|a|assegurar
apresenta-|se	apresenta|-se	apresenta-se	a|formação|apresenta-|se|hoje|em
encontram-|se	encontram|-se	encontram-se	concertos|,|encontram-|se|,|entre
destaca-|se	destaca|-se	destaca-se	Novembro|,|destaca-|se|o|de
deve-|se	deve|-se	deve-se	sua|poluição|deve-|se|ainda|o
mover-|se	mover|-se	mover-se	recomeçou|a|mover-|se|em|direcção
revelar-|se	revelar|-se	revelar-se	,|pode|revelar-|se|uma|arma
transformar-|se	transformar|-se	transformar-se	que|poderá|transformar-|se|em|poiso
limitam-|se	limitam|-se	limitam-se	estes|docentes|limitam-|se|a|leccionar
resolver-|la	resolvê|-la	resolvê-la	não|sabem|resolver-|la
Percebe-|se	Percebe|-se	Percebe-se	Percebe-|se|que|a
animam-|se	animam|-se	animam-se	As|coisas|animam-|se|decididamente|com
sucedem-|se	sucedem|-se	sucedem-se	Os|cantores|sucedem-|se|,|Miguel
centrar-|se-á	centrará|-se	centrar-se-á	A|discussão|centrar-|se-á|em|três
tenta-|se	tenta|-se	tenta-se	o|teatro|tenta-|se|encontrar|a
cria-|se	cria|-se	cria-se	espectáculo|,|cria-|se|um|tempo
cria-|se	cria|-se	cria-se	momento|--|cria-|se|um|tempo
trabalha-|se	trabalha|-se	trabalha-se	cinema|,|trabalha-|se|momento|a
tornando-|se	tornando|-se	tornando-se	»|,|tornando-|se|,|em
juntar-|se-ão	juntarão|-se	juntar-se-ão	e|gigantones|juntar-|se-ão|,|a
passou-|se	passou|-se	passou-se	realidade|,|passou-|se|a|falar
Apaixonei-|me	Apaixonei|-me	Apaixonei-me	«|Apaixonei-|me|imediatamente|por
respondeu-|me	respondeu|-me	respondeu-me	Isabel|respondeu-|me|que|ia
Trata-|se	Trata|-se	Trata-se	Trata-|se|de|a
escutar-|se	escutar|-se	escutar-se	,|pode|escutar-|se|a|obra
tornou-|se	tornou|-se	tornou-se	para|6|tornou-|se|praticamente|em
apresentaram-|se	apresentaram|-se	apresentaram-se	de|Portugal|apresentaram-|se|eficazes|,
manteve-|se	manteve|-se	manteve-se	A|peseta|manteve-|se|em|o
concluí-|a	concluí|-a	concluí-a	Filosofia|;|concluí-|a|em|esse
deparam-|se	deparam|-se	deparam-se	Dorado|,|deparam-|se|agora|com
deu-|se	deu|-se	deu-se	--|,|deu-|se|como|ponto
atravessou-|se	atravessou|-se	atravessou-se	O|carro|atravessou-|se|,|primeiro
pensa-|se	pensa|-se	pensa-se	a|FPJ|pensa-|se|já|em
espera-|se	espera|-se	espera-se	E|espera-|se|o|mesmo
Parece-|me	Parece|-me	Parece-me	Parece-|me|lógico|ligar
encontram-|se	encontram|-se	encontram-se	português|,|encontram-|se|para|falar
dirigir-|se	dirigir|-se	dirigir-se	tentado|a|dirigir-|se|a|o
situando-|se	situando|-se	situando-se	melhorou|,|situando-|se|em|50,9
verificou-|se	verificou|-se	verificou-se	Em|Maio|verificou-|se|um|aumento
nacionaliza-|lo	nacionalizá|-lo	nacionalizá-lo	objectivo|foi|nacionaliza-|lo|,|conserva-
conserva-|lo	conservá|-lo	conservá-lo	lo|,|conserva-|lo|.
regozija-|se	regozija|-se	regozija-se	Saddam|Hussein|regozija-|se|com|o
considerando-|o	considerando|-o	considerando-o	administrativas|,|considerando-|o|uma|boa
acrescentou-|lhe	acrescentou|-lhe	acrescentou-lhe	,|e|acrescentou-|lhe|argumentos|para
vou-|me	vou|-me	vou-me	)|--|vou-|me|contentando|com
degradar-|se	degradar|-se	degradar-se	continuem|a|degradar-|se|»
Sabe-|se	Sabe|-se	Sabe-se	Sabe-|se|que|o
evidenciar-|se	evidenciar|-se	evidenciar-se	começou|a|evidenciar-|se|devido|a
permitir-|lhe	permitir|-lhe	permitir-lhe	modo|a|permitir-|lhe|a|marcação
manifestam-|se	manifestam|-se	manifestam-se	Trabalhadores|municipais|manifestam-|se|por
manifestaram-|se	manifestaram|-se	manifestaram-se	trabalhadores|municipais|manifestaram-|se|ontem|diante
transaccionava-|se	transaccionava|-se	transaccionava-se	o|marco/escudo|transaccionava-|se|a|102,35/102,36
substitui-|lo	substituí|-lo	substituí-lo	acabou|por|substitui-|lo|por|Melli
valorizando-|a	valorizando|-a	valorizando-a	chorinho|,|valorizando-|a|com|sabedoria
encontra-|se	encontra|-se	encontra-se	frio|,|encontra-|se|o|vestido
Revê-|se	Revê|-se	Revê-se	Revê-|se|em|o
Usou-|o	Usou|-o	Usou-o	Usou-|o|em|o
apresenta-|se-|lhe	apresenta|-se|-lhe	apresenta-se-lhe	,|apresenta-|se-|lhe|uma|velha
senta-|se	senta|-se	senta-se	Esta|senhora|senta-|se|junto|de
levá-|las	levá|-las	levá-las	e|procura|levá-|las|até|a
recordar-|lhe	recordar|-lhe	recordar-lhe	começa|a|recordar-|lhe|o|tempo
Recordou-|lhe	Recordou|-lhe	Recordou-lhe	Recordou-|lhe|os|invernos
seguiam-|na	seguiam|-na	seguiam-na	os|admiradores|seguiam-|na|de|longe
Recordou-|lhe	Recordou|-lhe	Recordou-lhe	Recordou-|lhe|quando|,
dar-|lhe	dar|-lhe	dar-lhe	todos|procuravam|dar-|lhe|em|a
reve-|la	revê|-la	revê-la	que|podia|reve-|la|e|abraça-
abraça-|la	abraçá|-la	abraçá-la	la|e|abraça-|la
lembra-|se	lembra|-se	lembra-se	a|senhora|lembra-|se|de|quando
pergunta-|lhe	pergunta|-lhe	pergunta-lhe	»|--|pergunta-|lhe|de|súbito
deu-|me	deu|-me	deu-me	o|cabo|deu-|me|os|binóculos
encontra-|la	encontrá|-la	encontrá-la	baralhada|podemos|encontra-|la|,|por
Diga-|se	Diga|-se	Diga-se	Diga-|se|,|também
lembrando-|se	lembrando|-se	lembrando-se	Deneuve|,|lembrando-|se|de|Buñuel
basta-|nos	basta|-nos	basta-nos	basta-|nos|procurar|compreender
conclui-|se	conclui|-se	conclui-se	páginas|,|conclui-|se|por|«
seguir-|se	seguir|-se	seguir-se	,|deverá|seguir-|se|agora|um
sinto-|me	sinto|-me	sinto-me	bolas|aqui|sinto-|me|logo|melhor
encontra-|se	encontra|-se	encontra-se	O|sistema|encontra-|se|disponível|em
limita-|se	limita|-se	limita-se	organismo|visado|limita-|se|a|propor
Pense-|se	Pense|-se	Pense-se	Pense-|se|em|Kingsley
Pense-|se	Pense|-se	Pense-se	Pense-|se|em|o
Pense-|se	Pense|-se	Pense-se	Pense-|se|em|um
obtém-|se	obtém|-se	obtém-se	fim|,|obtém-|se|uma|série
preparar-|se	preparar|-se	preparar-se	tem|de|preparar-|se|para|o
faze-|lo	fazê|-lo	fazê-lo	não|conseguirá|faze-|lo
mantém-|se	mantém|-se	mantém-se	objectivo|perseguido|mantém-|se|:|prosseguir
mostra-|se	mostra|-se	mostra-se	DECO|)|mostra-|se|preocupada|com
encontram-|se	encontram|-se	encontram-se	festejos|carnavalescos|encontram-|se|os|estalinhos
Encontram-|se	Encontram|-se	Encontram-se	Encontram-|se|em|todo
visita-|la	visitá|-la	visitá-la	venham|a|visita-|la
deslocando-|se	deslocando|-se	deslocando-se	meses|,|deslocando-|se|depois|para
destinava-|se	destinava|-se	destinava-se	contos|e|destinava-|se|a|ser
Espera-|se	Espera|-se	Espera-se	Espera-|se|ainda|a
trata-|se	trata|-se	trata-se	,|e|trata-|se|de|a
acentuando-|se	acentuando|-se	acentuando-se	região|,|acentuando-|se|a|concentração
trata-|se	trata|-se	trata-se	,|e|trata-|se|de|uma
fez-|se	fez|-se	fez-se	previsto|,|fez-|se|a|substituição
Parece-|me	Parece|-me	Parece-me	Parece-|me|que|em
Antevi-|me	Antevi|-me	Antevi-me	Antevi-|me|,|com
contaram-|me	contaram|-me	contaram-me	Depois|,|contaram-|me|que|,
insere-|se	insere|-se	insere-se	,|e|insere-|se|em|a
escreve-|se	escreve|-se	escreve-se	Excelência|»|escreve-|se|em|maiúsculas
trair-|vos	trair|-vos	trair-vos	anda|a|trair-|vos
impondo-|se	impondo|-se	impondo-se	país|,|impondo-|se|um|teste
Recorde-|se	Recorde|-se	Recorde-se	Recorde-|se|que|as
instalar-|se	instalar|-se	instalar-se	começam|a|instalar-|se|em|os
referir-|se	referir|-se	referir-se	a|o|referir-|se|a|as
redimiu-|se	redimiu|-se	redimiu-se	feita|,|redimiu-|se|a|Escola
Lidou-|se	Lidou|-se	Lidou-se	Lidou-|se|um|curro
Recorde-|se	Recorde|-se	Recorde-se	Recorde-|se|que|Edberg
permitiram-|lhe	permitiram|-lhe	permitiram-lhe	relva|londrina|permitiram-|lhe|o|salto
desvincular-|se	desvincular|-se	desvincular-se	a|ameaçar|desvincular-|se|de|o
tem-|se	tem|-se	tem-se	Gerhard|Berger|tem-|se|mostrado|um
aproveitam-|se	aproveitam|-se	aproveitam-se	Burlões|aproveitam-|se|de|o
sentaram-|se	sentaram|-se	sentaram-se	Depois|,|sentaram-|se|o|guarda-redes
avança-|se	avança|-se	avança-se	esta|roda|avança-|se|10|centímetros
Estabelece-|se	Estabelece|-se	Estabelece-se	Estabelece-|se|que|«
Consagra-|se	Consagra|-se	Consagra-se	Consagra-|se|também|o
dividem-|se	dividem|-se	dividem-se	os|participantes|dividem-|se|em|«
deve-|se	deve|-se	deve-se	Isto|deve-|se|possivelmente|a
lembrou-|se	lembrou|-se	lembrou-se	Miller|Guerra|lembrou-|se|,|a
Peço-|lhes	Peço|-lhes	Peço-lhes	Peço-|lhes|para|desligar
candidata-|se	candidata|-se	candidata-se	melhor|currículo|candidata-|se|a|o
mostrando-|se	mostrando|-se	mostrando-se	socorro|,|mostrando-|se|reticente|,
livrarmo-|nos	livrarmo|-nos	livrarmo-nos	lei|é|livrarmo-|nos|de|habitantes
reuniram-|se	reuniram|-se	reuniram-se	Eurocapital|,|reuniram-|se|,|em
perfilam-|se	perfilam|-se	perfilam-se	canal|,|perfilam-|se|,|de
disputar-|se	disputar|-se	disputar-se	está|a|disputar-|se|a|Taça
sentar-|se	sentar|-se	sentar-se	desejo|é|sentar-|se|em|o
dificultando-|lhe	dificultando|-lhe	dificultando-lhe	UNITA|,|dificultando-|lhe|o|cumprimento
ser-|se	ser|-se	ser-se	,|e|ser-|se|capaz|de
refugiou-|se	refugiou|-se	refugiou-se	primeiro|tempo|refugiou-|se|quase|sempre
faltou-|lhes	faltou|-lhes	faltou-lhes	,|mas|faltou-|lhes|inteligência|em
pronunciar-|se	pronunciar|-se	pronunciar-se	só|deverá|pronunciar-|se|dentro|de
servindo-|se	servindo|-se	servindo-se	»|,|servindo-|se|de|o
fazem-|no	fazem|-no	fazem-no	destino|,|fazem-|no|a|coberto
mostrou-|se	mostrou|-se	mostrou-se	viagem|e|mostrou-|se|mais|uma
exagerou-|se	exagerou|-se	exagerou-se	,|«|exagerou-|se|em|a
Abriu-|se	Abriu|-se	Abriu-se	Abriu-|se|a|Porta
auto-excluiu-|se	auto-excluiu|-se	auto-excluiu-se	excluída|ou|auto-excluiu-|se
inquietam-|se	inquietam|-se	inquietam-se	Os|mercados|inquietam-|se
apreciar-|se	apreciar|-se	apreciar-se	o|escudo|apreciar-|se|relativamente|a
aliam-|se	aliam|-se	aliam-se	Nacionais-comunistas|aliam-|se|contra
reunir-|se	reunir|-se	reunir-se	,|vão|reunir-|se|hoje|em
constata-|se	constata|-se	constata-se	)|,|constata-|se|que|desde
espera-|se	espera|-se	espera-se	Nirvana|,|espera-|se|ainda|a
viam-|se	viam|-se	viam-se	As|pessoas|viam-|se|obrigadas|a
vê-|se	vê|-se	vê-se	extremos|,|vê-|se|também|uma
apresenta-|se	apresenta|-se	apresenta-se	extra|,|apresenta-|se|o|Balt
Calcula-|se	Calcula|-se	Calcula-se	Calcula-|se|que|mais
dedicam-|se	dedicam|-se	dedicam-se	em|Portugal|dedicam-|se|a|a
adaptar-|se	adaptar|-se	adaptar-se	modo|a|adaptar-|se|a|a
digo-|lhe	digo|-lhe	digo-lhe	eu|pessoalmente|digo-|lhe|que|estou
autoparodiar-|se	autoparodiar|-se	autoparodiar-se	ironizar|e|autoparodiar-|se|sem|fazer
prejudica-|me	prejudica|-me	prejudica-me	colegas|,|prejudica-|me|a|mim
acentua-|se	acentua|-se	acentua-se	a|economia|acentua-|se
iniciou-|se	iniciou|-se	iniciou-se	coisas|,|iniciou-|se|uma|forte
Calcula-|se	Calcula|-se	Calcula-se	Calcula-|se|o|que
sabendo-|se	sabendo|-se	sabendo-se	escudo|,|sabendo-|se|,|como
curvei-|me	curvei|-me	curvei-me	«|Eu|curvei-|me|a|as
tornar-|se	tornar|-se	tornar-se	está|a|tornar-|se|«|amigo
destaca-|se	destaca|-se	destaca-se	temáticas|actuais|destaca-|se|a|presença
disse-|se	disse|-se	disse-se	em|Sines|disse-|se|pouco|e
fez-|se	fez|-se	fez-se	pouco|e|fez-|se|muito|»
suscitam-|me	suscitam|-me	suscitam-me	a|Expo-98|suscitam-|me|os|seguintes
repartir-|se	repartir|-se	repartir-se	incluídos|deverão|repartir-|se|entre|os
prepare-|se	prepare|-se	prepare-se	o|Transkei|prepare-|se|para|pagar
queixa-|se	queixa|-se	queixa-se	Cavaco|queixa-|se|de|o
venderam-|se	venderam|-se	venderam-se	preço|,|venderam-|se|quase|405
encontraram-|se	encontraram|-se	encontraram-se	Militantes|comunistas|encontraram-|se|em|público
doutorou-|se	doutorou|-se	doutorou-se	Açores|(|doutorou-|se|,|em
limita-|se	limita|-se	limita-se	Paiva|,|limita-|se|a|notar
Rodeaste-|te	Rodeaste|-te	Rodeaste-te	Rodeaste-|te|de|algum
detectaram-|se	detectaram|-se	detectaram-se	rede|digital|detectaram-|se|sismos|de
custa-|nos	custa|-nos	custa-nos	com|computadores|custa-|nos|um|bocado
aproximou-|se	aproximou|-se	aproximou-se	,|Jardim|aproximou-|se|de|a
devolvendo-|o	devolvendo|-o	devolvendo-o	Espanha|,|devolvendo-|o|a|os
foi-|se	foi|-se	foi-se	pouco|,|foi-|se|esquecendo|em
encontra-|se	encontra|-se	encontra-se	supernova|e|encontra-|se|em|expansão
trata-|se	trata|-se	trata-se	Valpayee|,|trata-|se|de|um
referindo-|se	referindo|-se	referindo-se	Kalam|,|referindo-|se|a|as
Deitou-|lhe	Deitou|-lhe	Deitou-lhe	Deitou-|lhe|para|cima
bater-|lhe	bater|-lhe	bater-lhe	Começou|a|bater-|lhe|com|um
Cortou-|lhe	Cortou|-lhe	Cortou-lhe	Cortou-|lhe|a|cabeça
Depenou-|a	Depenou|-a	Depenou-a	Depenou-|a
foi-|se	foi|-se	foi-se	caneta|e|foi-|se|embora
sentaram-|se	sentaram|-se	sentaram-se	muitos|australianos|sentaram-|se|a|o
levantaram-|se	levantaram|-se	levantaram-se	estudantes|e|levantaram-|se|para|gritar
Leu-|se	Leu|-se	Leu-se	Leu-|se|o|poeta
cantou-|se	cantou|-se	cantou-se	emoção|,|cantou-|se|«|Peace
juntem-|se	juntem|-se	juntem-se	Venham|e|juntem-|se|a|a
tornou-|se	tornou|-se	tornou-se	Santos|,|tornou-|se|popular|por
continua-|la	continuá|-la	continuá-la	bem|,|continua-|la
roubá-|la	roubá|-la	roubá-la	vem|«|roubá-|la|»
procederá-|se-	procederá|-se	proceder-se-á	,|procederá-|se-|a|a|criação
Via-|se	Via|-se	Via-se	Via-|se|que|,
chamou-|o	chamou|-o	chamou-o	a|juíza|chamou-|o|,|vendo
vende-|las	vendê|-las	vendê-las	Mas|poderia|vende-|las
registou-|se	registou|-se	registou-se	Frankfurt|,|registou-|se|uma|subida
tinha-|se	tinha|-se	tinha-se	Antes|,|tinha-|se|recusado|a
Pedia-|se	Pedia|-se	Pedia-se	Pedia-|se|62,50m|,
deslocarem-|se	deslocarem|-se	deslocarem-se	as|pessoas|deslocarem-|se|a|a
faze-|lo	fazê|-lo	fazê-lo	habituadas|a|faze-|lo|há|muitos
decidiu-|se	decidiu|-se	decidiu-se	resto|,|decidiu-|se|ainda|aumentar
propõem-|nos	propõem|-nos	propõem-nos	Foucault|,|propõem-|nos|uma|história
Trata-|se	Trata|-se	Trata-se	Trata-|se|de|uma
limitou-|se	limitou|-se	limitou-se	John|Major|limitou-|se|a|acompanhar
desvalorizar-|se	desvalorizar|-se	desvalorizar-se	a|libra|desvalorizar-|se
Trata-|se	Trata|-se	Trata-se	Trata-|se|de|um
espera-|se	espera|-se	espera-se	que|,|espera-|se|,|estejam
inteirar-|se	inteirar|-se	inteirar-se	ontem|a|inteirar-|se|de|os
ocupava-|se	ocupava|-se	ocupava-se	bem-comportado|e|ocupava-|se|em|trabalhos
Suicidou-|se	Suicidou|-se	Suicidou-se	Suicidou-|se|a|7
encontravam-|no	encontravam|-no	encontravam-no	9h30|,|encontravam-|no|enforcado|,
reconheceu-|me	reconheceu|-me	reconheceu-me	mim|e|reconheceu-|me|logo
Deu-|me	Deu|-me	Deu-me	Deu-|me|um|maço
sossegou-|me	sossegou|-me	sossegou-me	cigarros|e|sossegou-|me
Levaram-|me	Levaram|-me	Levaram-me	Levaram-|me|a|o
levar-|me	levar|-me	levar-me	gendarmes|decidirem|levar-|me|para|uma
abriram-|me	abriram|-me	abriram-me	seguinte|,|abriram-|me|a|porta
fizeram-|me	fizeram|-me	fizeram-me	cela|,|fizeram-|me|subir|umas
encontravam-|se	encontravam|-se	encontravam-se	mesa|trapezoidal|encontravam-|se|cinco|indivíduos
recusando-|se	recusando|-se	recusando-se	confirma|,|recusando-|se|a|pagar
demitir-|se	demitir|-se	demitir-se	nem|deve|demitir-|se|»
completam-|se	completam|-se	completam-se	certa|medida|completam-|se|»
